-29.72617,-28.69736,-27.75507,-26.7,-25.74825,-24.77555,-23.80139,-22.79706,-21.78143,-20.76239,-19.76564,-18.76302,-17.83004,-16.80241,-15.83035,-16.79074,-17.81653,-18.83587,-19.82034,-20.84221,-21.82059,-22.80115,-23.83021,-24.86789,-25.83039,-26.85622,-27.86785,-28.83299,-29.86692,0,0,0,0,0,0,0,0,0,0,0,
-28.97738,-27.94778,-26.95403,-25.99261,-25.00682,-24.00805,-23.01221,-22.03271,-21.03542,-20.0378,-19.0609,-18.03182,-17.05959,-16.04935,-15.08491,-16.02617,-17.10061,-18.07376,-19.0546,-20.0599,-21.0779,-22.08031,-23.0805,-24.09644,-25.10905,-26.08697,-27.12139,-28.12453,-29.14208,0,0,0,0,0,0,0,0,0,0,0,
-28.28518,-27.24055,-26.22934,-25.27992,-24.31643,-23.27139,-22.29411,-21.25151,-20.29699,-19.29071,-18.31306,-17.31059,-16.3239,-15.29589,-14.32299,-15.31957,-16.3331,-17.33896,-18.31448,-19.37081,-20.35471,-21.34753,-22.37058,-23.40234,-24.35003,-25.37756,-26.37677,-27.35828,-28.41147,0,0,0,0,0,0,0,0,0,0,0,
-27.45923,-26.54697,-25.52934,-24.54527,-23.51585,-22.50871,-21.56888,-20.54071,-19.56702,-18.54843,-17.53752,-16.53839,-15.59138,-14.55501,-13.57863,-14.58926,-15.57173,-16.62827,-17.5815,-18.61238,-19.58405,-20.62927,-21.61487,-22.65681,-23.66937,-24.61978,-25.62965,-26.6478,-27.64937,0,0,0,0,0,0,0,0,0,0,0,
-26.78664,-25.78311,-24.76547,-23.7964,-22.77734,-21.79388,-20.7959,-19.8082,-18.79517,-17.80859,-16.82265,-15.78694,-14.83093,-13.79825,-12.8159,-13.81702,-14.82951,-15.84689,-16.85614,-17.85921,-18.86874,-19.89847,-20.85638,-21.88237,-22.87132,-23.88297,-24.90155,-25.89111,-26.92351,0,0,0,0,0,0,0,0,0,0,0,
-25.98813,-25.01952,-24.06406,-23.02873,-22.03769,-21.02583,-20.03317,-19.05988,-18.08737,-17.05956,-16.07585,-15.09193,-14.11449,-13.09927,-12.06255,-13.06422,-14.08762,-15.08073,-16.11879,-17.11961,-18.09361,-19.10875,-20.13261,-21.13884,-22.1313,-23.16258,-24.1431,-25.14728,-26.15862,0,0,0,0,0,0,0,0,0,0,0,
-25.25928,-24.30812,-23.24455,-22.30119,-21.29945,-20.26608,-19.32368,-18.28059,-17.29745,-16.32408,-15.31908,-14.34322,-13.30681,-12.35345,-11.33476,-12.35837,-13.37497,-14.35063,-15.37675,-16.35886,-17.36497,-18.37471,-19.37004,-20.39476,-21.38762,-22.37552,-23.37784,-24.38239,-25.43713,0,0,0,0,0,0,0,0,0,0,0,
-24.55499,-23.56744,-22.60172,-21.5051,-20.55466,-19.57996,-18.57993,-17.58481,-16.57941,-15.58334,-14.60507,-13.58002,-12.61011,-11.60413,-10.62454,-11.61075,-12.61578,-13.61636,-14.59622,-15.61679,-16.65689,-17.65332,-18.64664,-19.65366,-20.6387,-21.62875,-22.67316,-23.66339,-24.69217,0,0,0,0,0,0,0,0,0,0,0,
-23.81625,-22.79462,-21.76874,-20.75497,-19.81998,-18.79239,-17.78656,-16.84494,-15.84915,-14.85428,-13.86261,-12.84735,-11.86392,-10.86453,-9.856537,-10.84738,-11.89938,-12.8873,-13.8913,-14.87341,-15.86856,-16.93497,-17.90488,-18.89917,-19.92041,-20.89386,-21.94345,-22.93597,-23.91196,0,0,0,0,0,0,0,0,0,0,0,
-23.04333,-22.06995,-21.0643,-20.07202,-19.07852,-18.07278,-17.08624,-16.09589,-15.10278,-14.06076,-13.13174,-12.10016,-11.12573,-10.13022,-9.158142,-10.13208,-11.12555,-12.14398,-13.12006,-14.14438,-15.13159,-16.1825,-17.19507,-18.1243,-19.18317,-20.1593,-21.18228,-22.18149,-23.1983,0,0,0,0,0,0,0,0,0,0,0,
-22.34708,-21.32968,-20.29941,-19.33279,-18.29486,-17.34784,-16.36954,-15.3631,-14.35547,-13.35495,-12.37827,-11.34283,-10.38049,-9.369049,-8.373932,-9.368286,-10.41757,-11.43427,-12.41501,-13.38232,-14.39899,-15.38412,-16.43375,-17.39221,-18.43295,-19.4516,-20.46024,-21.47473,-22.43991,0,0,0,0,0,0,0,0,0,0,0,
